0018609-19.2019.8.17.0001,/TJPE/CAPITAL/CRIMINAL/VCRIM07/0018609-19.2019.8.17.0001
0000313-69.2020.8.17.8033,/TJPE/CAPITAL/PRESIDENCIA/0000313-69.2020.8.17.8033
0003884-09.2020.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0003884-09.2020.8.17.0480
0064750-39.1995.8.17.0001,/TJPE/CAPITAL/FAZENDA/VFAZ05/0064750-39.1995.8.17.0001
0003283-46.2016.8.17.0220,/TJPE/AGRESTE2/ARCOVERDE/CRIMINAL/VCRIM/0003283-46.2016.8.17.0220
0005286-33.2017.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0005286-33.2017.8.17.0480
0000334-28.2018.8.17.8126,/TJPE/CAPITAL/PRESIDENCIA/0000334-28.2018.8.17.8126
0046798-17.2013.8.17.0001,/TJPE/CAPITAL/NUCLEO 4.0 SFH/SFH/0046798-17.2013.8.17.0001
0000153-25.2020.8.17.1120,/TJPE/SERTAO1/PETROLANDIA/CIVEL/VCIV02/0000153-25.2020.8.17.1120
0001538-11.2019.8.17.0710,/TJPE/RMR/IGARASSU/VIOLENCIA DOMESTICA MULHER/VVDFM01/0001538-11.2019.8.17.0710
0005275-42.2008.8.17.8006,/TJPE/CAPITAL/PRESIDENCIA/0005275-42.2008.8.17.8006
0000886-77.2020.8.17.8043,/TJPE/CAPITAL/PRESIDENCIA/0000886-77.2020.8.17.8043
0000642-81.2016.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0000642-81.2016.8.17.0480
0000194-50.2019.8.17.1500,/TJPE/ZONA_DA_MATA/TRACUNHAEM/VUNICA/0000194-50.2019.8.17.1500
0057533-41.2015.8.17.0001,/TJPE/CAPITAL/CRIMINAL/VCRIM13/0057533-41.2015.8.17.0001
0006725-50.2015.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0006725-50.2015.8.17.0480
0000405-04.2018.8.17.0310,/TJPE/AGRESTE1/BOM JARDIM/VUNICA/0000405-04.2018.8.17.0310
0000885-66.2019.8.17.1370,/TJPE/SERTAO1/SERRA TALHADA/CRIMINAL/VCRIM/0000885-66.2019.8.17.1370
0002596-25.2020.8.17.8014,/TJPE/CAPITAL/PRESIDENCIA/0002596-25.2020.8.17.8014
0000142-77.2020.8.17.0220,/TJPE/AGRESTE2/ARCOVERDE/CRIMINAL/VCRIM/0000142-77.2020.8.17.0220
